subject_id,image_path,image_url,grb_id,t_start,t_stop,label,label_id,raw_metadata
mock_100000,data\mock_burst_chaser\images\mock_100000.png,,GRB120000A,8.225830906174316,40.73941454402348,noise,1,"{""trigger_id"": ""GRB120000A"", ""mock"": true}"
mock_100001,data\mock_burst_chaser\images\mock_100001.png,,GRB120001B,1.1532643811098797,52.39138512620624,pulse,0,"{""trigger_id"": ""GRB120001B"", ""mock"": true}"
mock_100002,data\mock_burst_chaser\images\mock_100002.png,,GRB120002C,4.398090424804667,59.71242203024016,pulse,0,"{""trigger_id"": ""GRB120002C"", ""mock"": true}"
mock_100003,data\mock_burst_chaser\images\mock_100003.png,,GRB120003D,1.1082076969870414,52.173195052535675,unclear,2,"{""trigger_id"": ""GRB120003D"", ""mock"": true}"
mock_100004,data\mock_burst_chaser\images\mock_100004.png,,GRB120004A,2.7061069519519387,45.456719533529146,unclear,2,"{""trigger_id"": ""GRB120004A"", ""mock"": true}"
mock_100005,data\mock_burst_chaser\images\mock_100005.png,,GRB120005B,1.8896038421968675,57.12992001803184,pulse,0,"{""trigger_id"": ""GRB120005B"", ""mock"": true}"
mock_100006,data\mock_burst_chaser\images\mock_100006.png,,GRB120006C,7.4470329424238475,42.36261700558148,noise,1,"{""trigger_id"": ""GRB120006C"", ""mock"": true}"
mock_100007,data\mock_burst_chaser\images\mock_100007.png,,GRB120007D,7.037698077660497,47.10719740711997,pulse,0,"{""trigger_id"": ""GRB120007D"", ""mock"": true}"
mock_100008,data\mock_burst_chaser\images\mock_100008.png,,GRB120008A,7.108876827294898,45.73787647664628,noise,1,"{""trigger_id"": ""GRB120008A"", ""mock"": true}"
mock_100009,data\mock_burst_chaser\images\mock_100009.png,,GRB120009B,6.68699887074931,56.76334068218792,noise,1,"{""trigger_id"": ""GRB120009B"", ""mock"": true}"
mock_100010,data\mock_burst_chaser\images\mock_100010.png,,GRB120010C,3.545126561783568,50.352141900377745,noise,1,"{""trigger_id"": ""GRB120010C"", ""mock"": true}"
mock_100011,data\mock_burst_chaser\images\mock_100011.png,,GRB120011D,0.19549971642973007,43.21457886355386,pulse,0,"{""trigger_id"": ""GRB120011D"", ""mock"": true}"
mock_100012,data\mock_burst_chaser\images\mock_100012.png,,GRB120012A,6.008581214567727,52.043898414643635,pulse,0,"{""trigger_id"": ""GRB120012A"", ""mock"": true}"
mock_100013,data\mock_burst_chaser\images\mock_100013.png,,GRB120013B,2.233538970142701,50.620113341235005,pulse,0,"{""trigger_id"": ""GRB120013B"", ""mock"": true}"
mock_100014,data\mock_burst_chaser\images\mock_100014.png,,GRB120014C,6.98401595693379,40.454829268783456,pulse,0,"{""trigger_id"": ""GRB120014C"", ""mock"": true}"
mock_100015,data\mock_burst_chaser\images\mock_100015.png,,GRB120015D,3.367006477392943,52.848308275744984,noise,1,"{""trigger_id"": ""GRB120015D"", ""mock"": true}"
mock_100016,data\mock_burst_chaser\images\mock_100016.png,,GRB120016A,2.277860953134472,49.45001522220674,pulse,0,"{""trigger_id"": ""GRB120016A"", ""mock"": true}"
mock_100017,data\mock_burst_chaser\images\mock_100017.png,,GRB120017B,0.7667985321843773,49.61811295137201,pulse,0,"{""trigger_id"": ""GRB120017B"", ""mock"": true}"
mock_100018,data\mock_burst_chaser\images\mock_100018.png,,GRB120018C,4.5292607331858505,49.643496915336634,pulse,0,"{""trigger_id"": ""GRB120018C"", ""mock"": true}"
mock_100019,data\mock_burst_chaser\images\mock_100019.png,,GRB120019D,7.330556516921982,44.31126168713835,noise,1,"{""trigger_id"": ""GRB120019D"", ""mock"": true}"
mock_100020,data\mock_burst_chaser\images\mock_100020.png,,GRB120020A,0.5781610406474724,43.49819963176163,pulse,0,"{""trigger_id"": ""GRB120020A"", ""mock"": true}"
mock_100021,data\mock_burst_chaser\images\mock_100021.png,,GRB120021B,2.374049946732404,53.634174066588265,noise,1,"{""trigger_id"": ""GRB120021B"", ""mock"": true}"
mock_100022,data\mock_burst_chaser\images\mock_100022.png,,GRB120022C,7.508855466946219,51.46200345173427,noise,1,"{""trigger_id"": ""GRB120022C"", ""mock"": true}"
mock_100023,data\mock_burst_chaser\images\mock_100023.png,,GRB120023D,4.3223378658202005,56.8264025161759,pulse,0,"{""trigger_id"": ""GRB120023D"", ""mock"": true}"
mock_100024,data\mock_burst_chaser\images\mock_100024.png,,GRB120024A,6.831255973810627,40.54225472267605,pulse,0,"{""trigger_id"": ""GRB120024A"", ""mock"": true}"
mock_100025,data\mock_burst_chaser\images\mock_100025.png,,GRB120025B,8.236228882333737,48.66978045341472,noise,1,"{""trigger_id"": ""GRB120025B"", ""mock"": true}"
mock_100026,data\mock_burst_chaser\images\mock_100026.png,,GRB120026C,2.5474251589523176,42.08215417057488,pulse,0,"{""trigger_id"": ""GRB120026C"", ""mock"": true}"
mock_100027,data\mock_burst_chaser\images\mock_100027.png,,GRB120027D,6.267216594800857,52.3773407917973,pulse,0,"{""trigger_id"": ""GRB120027D"", ""mock"": true}"
mock_100028,data\mock_burst_chaser\images\mock_100028.png,,GRB120028A,8.336754428782402,54.4910255285221,pulse,0,"{""trigger_id"": ""GRB120028A"", ""mock"": true}"
mock_100029,data\mock_burst_chaser\images\mock_100029.png,,GRB120029B,2.24821707930745,49.813315404784746,unclear,2,"{""trigger_id"": ""GRB120029B"", ""mock"": true}"
mock_100030,data\mock_burst_chaser\images\mock_100030.png,,GRB120030C,8.656535908598395,52.94917149296154,noise,1,"{""trigger_id"": ""GRB120030C"", ""mock"": true}"
mock_100031,data\mock_burst_chaser\images\mock_100031.png,,GRB120031D,2.2459780492470696,52.94019506085421,pulse,0,"{""trigger_id"": ""GRB120031D"", ""mock"": true}"
mock_100032,data\mock_burst_chaser\images\mock_100032.png,,GRB120032A,0.43593811565848517,40.65985257600386,noise,1,"{""trigger_id"": ""GRB120032A"", ""mock"": true}"
mock_100033,data\mock_burst_chaser\images\mock_100033.png,,GRB120033B,6.273722227728666,54.63458786931015,pulse,0,"{""trigger_id"": ""GRB120033B"", ""mock"": true}"
mock_100034,data\mock_burst_chaser\images\mock_100034.png,,GRB120034C,2.6427313203349403,48.773902942401975,pulse,0,"{""trigger_id"": ""GRB120034C"", ""mock"": true}"
mock_100035,data\mock_burst_chaser\images\mock_100035.png,,GRB120035D,0.9772791900653832,45.00737074711301,pulse,0,"{""trigger_id"": ""GRB120035D"", ""mock"": true}"
mock_100036,data\mock_burst_chaser\images\mock_100036.png,,GRB120036A,2.097813841874255,51.463691074605066,pulse,0,"{""trigger_id"": ""GRB120036A"", ""mock"": true}"
mock_100037,data\mock_burst_chaser\images\mock_100037.png,,GRB120037B,2.9988775913970023,42.40836583596871,pulse,0,"{""trigger_id"": ""GRB120037B"", ""mock"": true}"
mock_100038,data\mock_burst_chaser\images\mock_100038.png,,GRB120038C,7.970165507241314,41.28843555053479,noise,1,"{""trigger_id"": ""GRB120038C"", ""mock"": true}"
mock_100039,data\mock_burst_chaser\images\mock_100039.png,,GRB120039D,1.09194813578405,59.764985530619484,noise,1,"{""trigger_id"": ""GRB120039D"", ""mock"": true}"
mock_100040,data\mock_burst_chaser\images\mock_100040.png,,GRB120040A,6.8420152124106695,48.23267615608311,pulse,0,"{""trigger_id"": ""GRB120040A"", ""mock"": true}"
mock_100041,data\mock_burst_chaser\images\mock_100041.png,,GRB120041B,6.778589110565958,58.64486715719258,noise,1,"{""trigger_id"": ""GRB120041B"", ""mock"": true}"
mock_100042,data\mock_burst_chaser\images\mock_100042.png,,GRB120042C,4.059696711378394,48.07435193472368,unclear,2,"{""trigger_id"": ""GRB120042C"", ""mock"": true}"
mock_100043,data\mock_burst_chaser\images\mock_100043.png,,GRB120043D,7.105994935564226,43.88416472544582,noise,1,"{""trigger_id"": ""GRB120043D"", ""mock"": true}"
mock_100044,data\mock_burst_chaser\images\mock_100044.png,,GRB120044A,6.277557337178708,49.72119051866704,noise,1,"{""trigger_id"": ""GRB120044A"", ""mock"": true}"
mock_100045,data\mock_burst_chaser\images\mock_100045.png,,GRB120045B,7.203578672148815,43.73784661810429,pulse,0,"{""trigger_id"": ""GRB120045B"", ""mock"": true}"
mock_100046,data\mock_burst_chaser\images\mock_100046.png,,GRB120046C,9.917542296049737,56.95986714304327,noise,1,"{""trigger_id"": ""GRB120046C"", ""mock"": true}"
mock_100047,data\mock_burst_chaser\images\mock_100047.png,,GRB120047D,7.595619509948321,57.261832377959124,unclear,2,"{""trigger_id"": ""GRB120047D"", ""mock"": true}"
mock_100048,data\mock_burst_chaser\images\mock_100048.png,,GRB120048A,8.894131195875818,57.681666954462976,noise,1,"{""trigger_id"": ""GRB120048A"", ""mock"": true}"
mock_100049,data\mock_burst_chaser\images\mock_100049.png,,GRB120049B,8.047000658511582,50.62630057087998,noise,1,"{""trigger_id"": ""GRB120049B"", ""mock"": true}"
mock_100050,data\mock_burst_chaser\images\mock_100050.png,,GRB120050C,6.303882552050641,43.805332765567414,pulse,0,"{""trigger_id"": ""GRB120050C"", ""mock"": true}"
mock_100051,data\mock_burst_chaser\images\mock_100051.png,,GRB120051D,9.799233391009086,45.37492621740107,noise,1,"{""trigger_id"": ""GRB120051D"", ""mock"": true}"
mock_100052,data\mock_burst_chaser\images\mock_100052.png,,GRB120052A,9.918880759037373,40.840272688996386,pulse,0,"{""trigger_id"": ""GRB120052A"", ""mock"": true}"
mock_100053,data\mock_burst_chaser\images\mock_100053.png,,GRB120053B,0.4865678698342779,47.576266440471116,pulse,0,"{""trigger_id"": ""GRB120053B"", ""mock"": true}"
mock_100054,data\mock_burst_chaser\images\mock_100054.png,,GRB120054C,3.070634710282163,49.17154543720088,noise,1,"{""trigger_id"": ""GRB120054C"", ""mock"": true}"
mock_100055,data\mock_burst_chaser\images\mock_100055.png,,GRB120055D,0.45529844501438266,44.949685053320046,pulse,0,"{""trigger_id"": ""GRB120055D"", ""mock"": true}"
mock_100056,data\mock_burst_chaser\images\mock_100056.png,,GRB120056A,6.8095543632647715,52.706870457344145,pulse,0,"{""trigger_id"": ""GRB120056A"", ""mock"": true}"
mock_100057,data\mock_burst_chaser\images\mock_100057.png,,GRB120057B,8.46809260405801,45.02354316486777,pulse,0,"{""trigger_id"": ""GRB120057B"", ""mock"": true}"
mock_100058,data\mock_burst_chaser\images\mock_100058.png,,GRB120058C,8.216705097508004,44.46415230088789,unclear,2,"{""trigger_id"": ""GRB120058C"", ""mock"": true}"
mock_100059,data\mock_burst_chaser\images\mock_100059.png,,GRB120059D,5.533532832297948,54.19837450142729,pulse,0,"{""trigger_id"": ""GRB120059D"", ""mock"": true}"
mock_100060,data\mock_burst_chaser\images\mock_100060.png,,GRB120060A,1.186715403554992,47.408237746562875,noise,1,"{""trigger_id"": ""GRB120060A"", ""mock"": true}"
mock_100061,data\mock_burst_chaser\images\mock_100061.png,,GRB120061B,6.167601484054881,44.89475532200139,unclear,2,"{""trigger_id"": ""GRB120061B"", ""mock"": true}"
mock_100062,data\mock_burst_chaser\images\mock_100062.png,,GRB120062C,3.48482642706324,48.81208720151045,noise,1,"{""trigger_id"": ""GRB120062C"", ""mock"": true}"
mock_100063,data\mock_burst_chaser\images\mock_100063.png,,GRB120063D,8.009836977913036,45.271041610798875,pulse,0,"{""trigger_id"": ""GRB120063D"", ""mock"": true}"
mock_100064,data\mock_burst_chaser\images\mock_100064.png,,GRB120064A,0.6271349787556868,45.291124951564626,noise,1,"{""trigger_id"": ""GRB120064A"", ""mock"": true}"
mock_100065,data\mock_burst_chaser\images\mock_100065.png,,GRB120065B,5.960151023829376,47.46593737799881,noise,1,"{""trigger_id"": ""GRB120065B"", ""mock"": true}"
mock_100066,data\mock_burst_chaser\images\mock_100066.png,,GRB120066C,1.5337839149562094,40.870479325001455,pulse,0,"{""trigger_id"": ""GRB120066C"", ""mock"": true}"
mock_100067,data\mock_burst_chaser\images\mock_100067.png,,GRB120067D,4.07696316097552,44.87069720093422,noise,1,"{""trigger_id"": ""GRB120067D"", ""mock"": true}"
mock_100068,data\mock_burst_chaser\images\mock_100068.png,,GRB120068A,5.437319360438827,55.92344836491408,pulse,0,"{""trigger_id"": ""GRB120068A"", ""mock"": true}"
mock_100069,data\mock_burst_chaser\images\mock_100069.png,,GRB120069B,2.308394357601562,49.817866875292694,pulse,0,"{""trigger_id"": ""GRB120069B"", ""mock"": true}"
mock_100070,data\mock_burst_chaser\images\mock_100070.png,,GRB120070C,1.6835850689043663,54.45278996561312,noise,1,"{""trigger_id"": ""GRB120070C"", ""mock"": true}"
mock_100071,data\mock_burst_chaser\images\mock_100071.png,,GRB120071D,3.633668658187691,49.12482736432896,pulse,0,"{""trigger_id"": ""GRB120071D"", ""mock"": true}"
